product,date_time,external_measurement_weight,height_avg
5.5 oz Tenderloin A,2024-06-03 11:00:16,5.56,1.31111
5.5 oz Tenderloin A,2024-06-03 11:00:23,5.64,1.25641
5.5 oz Tenderloin A,2024-06-03 11:00:36,5.8,1.42467
5.5 oz Tenderloin A,2024-06-03 11:00:46,5.56,1.24473
5.5 oz Tenderloin A,2024-06-03 11:00:53,5.86,1.85123
5.5 oz Tenderloin A,2024-06-03 11:01:02,5.84,2.19678
5.5 oz Tenderloin A,2024-06-03 11:01:12,5.74,1.60503
5.5 oz Tenderloin A,2024-06-03 11:01:20,5.68,1.31968
5.5 oz Tenderloin A,2024-06-03 11:01:27,5.38,1.45579
5.5 oz Tenderloin A,2024-06-03 11:01:52,5.58,1.07212
5.5 oz Tenderloin A,2024-06-03 11:02:01,5.69,1.0109
5.5 oz Tenderloin A,2024-06-03 11:02:09,5.48,1.48267
5.5 oz Tenderloin A,2024-06-03 11:02:16,5.72,1.73457
5.5 oz Tenderloin A,2024-06-03 11:02:28,5.58,2.15131
5.5 oz Tenderloin A,2024-06-03 11:02:35,5.86,1.25983
5.5 oz Tenderloin A,2024-06-03 11:02:43,5.4,1.02528
5.5 oz Tenderloin A,2024-06-03 11:02:52,5.34,2.48412
5.5 oz Tenderloin A,2024-06-03 11:03:02,5.42,1.66496
5.5 oz Tenderloin A,2024-06-03 11:03:11,5.66,1.40968
5.5 oz Tenderloin A,2024-06-03 11:03:19,5.4,1.92873
5.5 oz Tenderloin A,2024-06-03 11:03:27,5.56,1.48722
5.5 oz Tenderloin A,2024-06-03 11:03:34,5.74,0.995124
5.5 oz Tenderloin A,2024-06-03 11:03:41,5.86,1.12783
5.5 oz Tenderloin A,2024-06-03 11:03:52,5.56,1.2286
5.5 oz Tenderloin A,2024-06-03 11:04:00,5.76,1.07498
5.5 oz Tenderloin A,2024-06-03 11:04:16,5.46,1.21116
5.5 oz Tenderloin A,2024-06-03 11:04:23,5.7,1.22946
5.5 oz Tenderloin A,2024-06-03 11:04:30,5.68,1.61054
5.5 oz Tenderloin A,2024-06-03 11:04:43,5.48,1.90962
5.5 oz Tenderloin A,2024-06-03 11:04:52,5.28,1.02291
5.5 oz Tenderloin A,2024-06-03 11:04:59,5.62,1.41285
5.5 oz Tenderloin A,2024-06-03 11:05:06,5.74,1.16747
7 oz T Tenderloin A,2024-06-03 11:10:35,6.98,1.59455
7 oz T Tenderloin A,2024-06-03 11:10:43,6.74,2.24072
7 oz T Tenderloin A,2024-06-03 11:10:49,6.56,1.25552
7 oz T Tenderloin A,2024-06-03 11:10:56,7.12,1.3808
7 oz T Tenderloin A,2024-06-03 11:11:04,7.4,1.75819
7 oz T Tenderloin A,2024-06-03 11:11:11,6.64,1.33961
7 oz T Tenderloin A,2024-06-03 11:11:18,7.36,1.93641
7 oz T Tenderloin A,2024-06-03 11:11:26,7.06,1.11103
7 oz T Tenderloin A,2024-06-03 11:11:34,7.16,2.47364
7 oz T Tenderloin A,2024-06-03 11:11:44,6.5,1.60536
7 oz T Tenderloin A,2024-06-03 11:11:51,6.6,1.90275
7 oz T Tenderloin A,2024-06-03 11:12:00,7.2,1.75122
7 oz T Tenderloin A,2024-06-03 11:12:07,6.74,1.4771
7 oz T Tenderloin A,2024-06-03 11:12:21,6.48,1.20753
7 oz T Tenderloin A,2024-06-03 11:12:30,7.02,1.31056
7 oz T Tenderloin A,2024-06-03 11:12:37,7.06,1.25294
7 oz T Tenderloin A,2024-06-03 11:12:43,7.0,1.40057
7 oz T Tenderloin A,2024-06-03 11:12:50,6.5,1.22034
7 oz T Tenderloin A,2024-06-03 11:12:58,6.99,1.93299
7 oz T Tenderloin A,2024-06-03 11:13:11,6.5,1.6332
7 oz T Tenderloin A,2024-06-03 11:13:24,7.08,1.20211
